"id","title","year","url","source_category","objective_categories","objective_basis","confidence","boundary_notes","needs_followup"
"arxiv:2602.03545","Persona Generators: Generating Diverse Synthetic Personas for Arbitrary Contexts","2026","https://arxiv.org/abs/2602.03545","Model-Generated Personas","Coverage and Stress Testing","Local metadata supports: Coverage and Stress Testing. Prior source tags: support coverage; narrative enrichment. Abstract basis: Evaluating AI systems that interact with humans requires understanding their behavior across diverse user populations, but collecting representative human data is often expensive or infeasible, particularly for novel technologies or hypothetical future scenari...","high","Clear coverage objective rather than population representativeness.","no"
"arxiv:2601.07110","The Need for a Socially-Grounded Persona Framework for User Simulation","2026","https://arxiv.org/abs/2601.07110","Trace-Grounded Personas","Individual Fidelity; Behavioral Calibration; Bias and Harm Auditing","Local metadata supports: Individual Fidelity; Behavioral Calibration; Bias and Harm Auditing. Prior source tags: individual fidelity; behavioral calibration; bias/harm audit. Abstract basis: Synthetic personas are widely used to condition large language models (LLMs) for social simulation, yet most personas are still constructed from coarse sociodemographic attributes or summaries. We revisit persona creation by introducing SCOPE, a socially groun...","high","Sociopsychological grounding supports person-level and behavioral claims.","no"
"arxiv:2509.10127","Population-Aligned Persona Generation for LLM-based Social Simulation","2025","https://arxiv.org/abs/2509.10127","Trace-Grounded Personas","Population Representation; Behavioral Calibration","Local metadata supports: Population Representation; Behavioral Calibration. Prior source tags: density matching; behavioral calibration; narrative enrichment. Abstract basis: Recent advances in large language models (LLMs) have enabled human-like social simulations at unprecedented scale and fidelity, offering new opportunities for computational social science. A key challenge, however, is the construction of persona sets that auth...","high","Population-level bias reduction is treated as validity evidence rather than a separate harm audit from metadata alone.","no"
"arxiv:2601.22396","Culturally Grounded Personas in Large Language Models: Characterization and Alignment with Socio-Psychological Value Frameworks","2026","https://arxiv.org/abs/2601.22396","Population-Sampled Personas","Population Representation; Behavioral Calibration; Bias and Harm Auditing","Local metadata supports: Population Representation; Behavioral Calibration; Bias and Harm Auditing. Prior source tags: density matching; behavioral calibration; bias/harm audit. Abstract basis: Despite the growing utility of Large Language Models (LLMs) for simulating human behavior, the extent to which these synthetic personas accurately reflect world and moral value systems across different cultural conditionings remains uncertain. This paper inves...","medium","Needs full text to verify whether WVS variables are sampled as records or used only as labels.","yes"
"arxiv:2603.19791","Text-Based Personas for Simulating User Privacy Decisions","2026","https://arxiv.org/abs/2603.19791","Trace-Grounded Personas","Population Representation; Individual Fidelity; Behavioral Calibration","Local metadata supports: Population Representation; Individual Fidelity; Behavioral Calibration. Prior source tags: individual fidelity; behavioral calibration; narrative enrichment. Abstract basis: The ability to simulate human privacy decisions has significant implications for aligning autonomous agents with individual intent and conducting cost-effective, large-scale privacy-centric user studies. Prior approaches prompt Large Language Models (LLMs) wit...","high","Bridge case spanning individual and population-level privacy preferences.","no"
"arxiv:2502.18712","TrajLLM: A Modular LLM-Enhanced Agent-Based Framework for Realistic Human Trajectory Simulation","2025","https://arxiv.org/abs/2502.18712","Model-Generated Personas","Behavioral Calibration","Local metadata supports: Behavioral Calibration. Prior source tags: narrative enrichment; support coverage. Abstract basis: This work leverages Large Language Models (LLMs) to simulate human mobility, addressing challenges like high costs and privacy concerns in traditional models. Our hierarchical framework integrates persona generation, activity selection, and destination predict...","medium","Metadata does not establish a population sampling claim for the persona set itself.","yes"
"arxiv:2511.07338","DeepPersona: A Generative Engine for Scaling Deep Synthetic Personas","2025","https://arxiv.org/abs/2511.07338","Model-Generated Personas","Coverage and Stress Testing; Behavioral Calibration","Local metadata supports: Coverage and Stress Testing; Behavioral Calibration. Prior source tags: narrative enrichment; support coverage. Abstract basis: Simulating human profiles by instilling personas into large language models (LLMs) is rapidly transforming research in agentic behavioral simulation, LLM personalization, and human-AI alignment. However, most existing synthetic personas remain shallow and simp...","medium","Deep narrative profiles are a means; no specific-person fidelity claim is visible locally.","yes"
"arxiv:2507.14922","Synthia: Scalable Grounded Persona Generation from Social Media Data","2025","https://arxiv.org/abs/2507.14922","Trace-Grounded Personas","Population Representation; Individual Fidelity; Behavioral Calibration; Bias and Harm Auditing","Local metadata supports: Population Representation; Individual Fidelity; Behavioral Calibration; Bias and Harm Auditing. Prior source tags: individual fidelity; behavioral calibration; bias/harm audit. Abstract basis: Persona-driven simulations are increasingly used in computational social science, yet their validity critically depends on the fidelity of the underlying personas. Constructing virtual populations that are both authentic and scalable remains a central challeng...","high","Trace-grounded construction supports individual fidelity while virtual-population framing supports representation.","no"
"arxiv:2510.22170","Measure what Matters: Psychometric Evaluation of AI with Situational Judgment Tests","2025","https://arxiv.org/abs/2510.22170","Not Persona Generation / adjacent","Agent / Model Evaluation","Local metadata supports: Agent / Model Evaluation. Prior source tags: role-playing evaluation. Abstract basis: Persona conditioning is widely used to steer large language model (LLM) behavior, but it is unclear whether it induces stable behavioral structure or superficial variation. We propose a framework to measure consistent behavioral tendencies using situational ju...","high","Evaluation target is the model under persona conditioning.","no"
"arxiv:2503.16527","LLM Generated Persona is a Promise with a Catch","2025","https://arxiv.org/abs/2503.16527","Model-Generated Personas","Population Representation; Bias and Harm Auditing","Local metadata supports: Population Representation; Bias and Harm Auditing. Prior source tags: density matching; bias/harm audit. Abstract basis: The use of large language models (LLMs) to simulate human behavior has gained significant attention, particularly through personas that approximate individual characteristics. Persona-based simulations hold promise for transforming disciplines that rely on pop...","high","Uses density-matching and harm-audit framing from local coding.","no"
