year,column,section,matched_qname,response_suffix,description
2023,ResponseId,Other survey answers,,,ResponseId
2023,Q120,Other survey answers,,,Q120
2023,MainBranch,Background,MainBranch,,"Which of the following options best describes you today? For the purpose of this survey, a developer is ""someone who writes code"". *"
2023,Age,Background,Age,,What is your age? *
2023,Employment,Background,Employment,,Which of the following best describes your current employment status? Select all that apply.
2023,RemoteWork,Work and career,RemoteWork,,Which best describes your current work situation?
2023,CodingActivities,Other survey answers,CodingActivities,,Which of the following best describes the code you write outside of work? Select all that apply.
2023,EdLevel,Background,EdLevel,,Which of the following best describes the highest level of formal education that you’ve completed? *
2023,LearnCode,Background,LearnCode,,How do you learn to code? Select all that apply.
2023,LearnCodeOnline,Background,LearnCodeOnline,,What online resources do you use to learn to code? Select all that apply.
2023,LearnCodeCoursesCert,Background,LearnCodeCoursesCert,,What online courses or certifications do you use to learn to code? Select all that apply.
2023,YearsCode,Work and career,YearsCode,,"Including any education, how many years have you been coding in total?"
2023,YearsCodePro,Work and career,YearsCodePro,,"NOT including education, how many years have you coded professionally (as a part of your work)?"
2023,DevType,Work and career,DevType,,"Which of the following describes your current job, the one you do most of the time? Please select only one."
2023,OrgSize,Work and career,OrgSize,,"Approximately how many people are employed by the company or organization you currently work for? This should only include your primary company, and not the entire holding or parent company if that applies."
2023,PurchaseInfluence,Work and career,PurchaseInfluence,,"What level of influence do you, personally, have over new technology purchases at your organization?"
2023,TechList,Other survey answers,TechList,,"When thinking about new technology purchases at your organization, are you more likely to be given a short list of products/services to evaluate or be told to investigate on your own?"
2023,BuyNewTool,Other survey answers,BuyNewTool,,"When buying a new tool or software, how do you discover and research available solutions? Select all that apply."
2023,Country,Background,Country,,Where do you live? *
2023,Currency,Background,Currency,,"Which currency do you use day-to-day? If your answer is complicated, please pick the one you're most comfortable estimating in. *"
2023,CompTotal,Work and career,CompTotal,,"What is your current total annual compensation (salary, bonuses, and perks, before taxes and deductions)? Please enter a whole number in the box below, without any punctuation. If you are paid hourly, please estimate an equivalent yearly salary. If you prefer not to answer, please leave the box empty."
2023,LanguageHaveWorkedWith,Technology stack,Language,worked with in the past year,"Which programming, scripting, and markup languages have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the language and want to continue to do so, please check both boxes in that row.) | Response column: worked with in the past year"
2023,LanguageWantToWorkWith,Technology stack,Language,want to work with next year,"Which programming, scripting, and markup languages have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the language and want to continue to do so, please check both boxes in that row.) | Response column: want to work with next year"
2023,DatabaseHaveWorkedWith,Technology stack,Database,worked with in the past year,"Which database environments have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the database and want to continue to do so, please check both boxes in that row.) | Response column: worked with in the past year"
2023,DatabaseWantToWorkWith,Technology stack,Database,want to work with next year,"Which database environments have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the database and want to continue to do so, please check both boxes in that row.) | Response column: want to work with next year"
2023,PlatformHaveWorkedWith,Technology stack,Platform,worked with in the past year,"Which cloud platforms have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the platform and want to continue to do so, please check both boxes in that row.) | Response column: worked with in the past year"
2023,PlatformWantToWorkWith,Technology stack,Platform,want to work with next year,"Which cloud platforms have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the platform and want to continue to do so, please check both boxes in that row.) | Response column: want to work with next year"
2023,WebframeHaveWorkedWith,Technology stack,Webframe,worked with in the past year,"Which web frameworks and web technologies have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.) | Response column: worked with in the past year"
2023,WebframeWantToWorkWith,Technology stack,Webframe,want to work with next year,"Which web frameworks and web technologies have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.) | Response column: want to work with next year"
